step,exact_accuracy,token_accuracy,eval_loss
0,0.0,0.2033935546875,1.6088891983032227
4000,0.0,0.2,1.6081222534179687
8000,0.0,0.2,1.6092888832092285
12000,0.0,0.2,1.6093573570251465
16000,0.0,0.19991455078125,1.6069870948791505
20000,0.0,0.2,1.6096157073974608
24000,0.0,0.2,1.6063068389892579
28000,0.0,0.2,1.609375
32000,0.0,0.19888916015625,1.608304214477539
36000,0.0,0.2,1.6078125
40000,0.0,0.2,1.6125
44000,0.0,0.1995361328125,1.6080766677856446
48000,0.0,0.2,1.6109375
52000,0.0,0.2,1.609375
56000,0.0,0.2,1.6109375
60000,0.0,0.2,1.6078125
64000,0.0,0.2,1.6125
68000,0.0,0.2,1.6109375
72000,0.0,0.2,1.6078125
76000,0.0,0.2,1.6078125
80000,0.0,0.2,1.6125
84000,0.0,0.2,1.6078125
88000,0.0,0.2,1.6109255790710448
92000,0.0,0.2,1.6078125
96000,0.0,0.2,1.6109375
100000,0.0,0.2,1.6078125
104000,0.0,0.2,1.609375
108000,0.0,0.2,1.61092529296875
112000,0.0,0.2,1.6078125
116000,0.0,0.2,1.609375
120000,0.0,0.2,1.609375
124000,0.0,0.2,1.609375
128000,0.0,0.2,1.6078125
132000,0.0,0.2,1.6078125
136000,0.0,0.2,1.60625
140000,0.0,0.2,1.6125
144000,0.0,0.2,1.6109375
148000,0.0,0.2,1.6109375
152000,0.0,0.2,1.6125
156000,0.0,0.2,1.6109375
160000,0.0,0.2,1.60625
