step,exact_accuracy,token_accuracy,eval_loss
0,0.0,0.2033935546875,1.6088891983032227
4000,0.0010986328125,0.21259765625,1.6584301471710206
8000,0.006103515625,0.28509521484375,1.6621894598007203
12000,0.6624755859375,0.91378173828125,0.2417806029319763
16000,0.9769287109375,0.99534912109375,0.017435955256223677
20000,0.99420166015625,0.99884033203125,0.004103757068514824
24000,0.99981689453125,0.99996337890625,0.00025672981573734435
28000,0.9705810546875,0.9937255859375,0.019677515886723996
32000,1.0,1.0,5.333434819476679e-05
36000,0.976318359375,0.9950439453125,0.014932144992053508
40000,0.99676513671875,0.99935302734375,0.0032154047396034
44000,0.99664306640625,0.99932861328125,0.0026784192654304207
48000,0.99945068359375,0.99989013671875,0.0004526712611550465
52000,1.0,1.0,2.9000877111684532e-05
56000,0.9996337890625,0.9999267578125,0.00021750283776782452
60000,0.999755859375,0.999951171875,0.0002250683304737322
64000,0.999755859375,0.999951171875,0.00013099847419653087
68000,0.9998779296875,0.9999755859375,0.00014729222020832823
72000,0.9993896484375,0.9998779296875,0.0004602642118697986
76000,0.99981689453125,0.99996337890625,0.0001271922024898231
80000,1.0,1.0,1.4886913413647563e-05
84000,1.0,1.0,4.220157279632986e-06
88000,1.0,1.0,4.5200722524896265e-07
92000,1.0,1.0,6.152258720248938e-08
96000,1.0,1.0,4.483008524402976e-08
100000,1.0,1.0,1.0262010619044305e-08
104000,1.0,1.0,4.870526026934385e-09
108000,1.0,1.0,6.32135197520256e-09
112000,1.0,1.0,3.073364496231079e-09
116000,1.0,1.0,3.768946044147015e-09
120000,1.0,1.0,3.0442606657743452e-09
124000,1.0,1.0,3.0006049200892447e-09
128000,1.0,1.0,1.1394149623811245e-09
132000,1.0,1.0,2.488377504050732e-10
136000,0.9990234375,0.9998046875,0.00048190243978751823
140000,0.998779296875,0.999755859375,0.0008109863614663481
144000,0.99420166015625,0.99879150390625,0.00509755639359355
148000,0.99835205078125,0.999658203125,0.000926715022069402
152000,0.99609375,0.99921875,0.001817326166201383
156000,0.9969482421875,0.99937744140625,0.0029056485975161193
160000,0.9998779296875,0.9999755859375,6.309687887551263e-05
