step,exact_accuracy,token_accuracy,eval_loss
0,0.0,0.20079345703125,1.609412384033203
4000,0.001220703125,0.2191162109375,1.7123157024383544
8000,0.00860595703125,0.29603271484375,1.6863482475280762
12000,0.75244140625,0.94029541015625,0.1720459371805191
16000,0.969970703125,0.9938232421875,0.02089718971401453
20000,0.99932861328125,0.99986572265625,0.00046770216431468725
24000,0.98773193359375,0.99752197265625,0.008440159633755684
28000,0.9996337890625,0.9999267578125,0.00019274787337053567
32000,0.9981689453125,0.9996337890625,0.0014345456147566438
36000,0.99835205078125,0.99967041015625,0.0012429656577296554
40000,0.99993896484375,0.99998779296875,2.8394338733050974e-05
44000,0.99932861328125,0.99986572265625,0.0006139592034742237
48000,0.99896240234375,0.99979248046875,0.0007157658430514858
52000,1.0,1.0,4.0804127638693896e-05
56000,0.99945068359375,0.99989013671875,0.000339542307483498
60000,1.0,1.0,1.8357062072027474e-05
64000,1.0,1.0,4.219207039568573e-06
68000,0.999755859375,0.999951171875,0.00012284692202229052
72000,0.99981689453125,0.99996337890625,0.0001982556510483846
76000,0.9993896484375,0.99986572265625,0.00038978181837592276
80000,0.99761962890625,0.99952392578125,0.0016546769067645073
84000,0.99951171875,0.99990234375,0.0005070512183010578
88000,0.999755859375,0.999951171875,0.00020174775272607803
92000,0.99951171875,0.99990234375,0.00036037392565049233
96000,0.998779296875,0.99974365234375,0.0011172440717928112
100000,0.9998779296875,0.9999755859375,5.040142714278773e-05
104000,0.9998779296875,0.9999755859375,0.00023304712813114746
108000,0.9998779296875,0.9999755859375,7.457515312125906e-05
112000,0.99993896484375,0.99998779296875,3.1339396082330494e-05
116000,0.99993896484375,0.99998779296875,3.142316272715106e-05
120000,0.99969482421875,0.99993896484375,0.0005246445187367498
124000,0.9998779296875,0.9999755859375,6.784818251617252e-05
128000,0.99896240234375,0.9997802734375,0.0008630854106741026
132000,0.999755859375,0.999951171875,0.00028437007567845286
136000,0.99139404296875,0.99813232421875,0.006606110371649265
140000,0.9998779296875,0.9999755859375,0.00019949779234593735
144000,0.99993896484375,0.99998779296875,0.0001483278567320667
148000,0.9998779296875,0.9999755859375,0.00010100027429871261
152000,0.99993896484375,0.99998779296875,7.837375596864149e-05
156000,0.99993896484375,0.99998779296875,3.862833691528067e-05
160000,1.0,1.0,6.2418621382676065e-06
