step,exact_accuracy,token_accuracy,eval_loss
0,0.0,0.20079345703125,1.609412384033203
4000,0.0,0.20072021484375,1.6115135192871093
8000,0.0,0.2,1.6125
12000,0.0,0.20042724609375,1.6078954696655274
16000,0.0,0.2,1.6083036422729493
20000,0.0,0.1998779296875,1.6111239433288573
24000,0.0,0.2,1.6109375
28000,0.0,0.2,1.6125
32000,0.0,0.2,1.6109375
36000,0.0,0.2,1.6120558738708497
40000,0.0,0.2,1.609375
44000,0.0,0.19986572265625,1.6064108848571776
48000,0.0,0.2,1.609375
52000,0.0,0.2,1.6108983039855957
56000,0.0,0.200048828125,1.6062961578369142
60000,0.0,0.2,1.6099712371826171
64000,0.0,0.2,1.609375
68000,0.0,0.2,1.60625
72000,0.0,0.2,1.6078237533569335
76000,0.0,0.2,1.609375
80000,0.0,0.2,1.6093749046325683
84000,0.0,0.2,1.609375
88000,0.0,0.2,1.6109375
92000,0.0,0.2,1.609375
96000,0.0,0.2,1.6078125
100000,0.0,0.2,1.6094908714294434
104000,0.0,0.2,1.608197021484375
108000,0.0,0.2,1.6078125
112000,0.0,0.2,1.6125
116000,0.0,0.2,1.6078125
120000,0.0,0.2,1.6078125
124000,0.0,0.20003662109375,1.6109365463256835
128000,0.0,0.2,1.60625
132000,0.0,0.2,1.60625
136000,0.0,0.2,1.6125
140000,0.0,0.2,1.60625
144000,0.0,0.2,1.609375
148000,0.0,0.2,1.60625
152000,0.0,0.2,1.606250286102295
156000,0.0,0.2,1.60625
160000,0.0,0.2,1.609375
