rollout,probe,step,cov_before,agent_block_gap_px,ace,ace_executed,outcome_kp_dispersion_px,outcome_kp_pairwise_px,outcome_kp_mean_shift_px,outcome_cov_mean,outcome_cov_std,outcome_cov_delta,frac_samples_with_contact,mean_contacts,act_rms_dispersion,act_trace_cov_mean,act_std_mean,rollout_terminated,rollout_len
100000,0,0,0.5508347466546216,142.2113653125302,2.71978808627277,2.9470833579181437,1.1305447232643247e-12,0.0,1.1305447232643247e-12,0.5508347466546216,0.0,0.0,0.0,0.0,11.794050409200127,139.64511378045864,8.182251874842567,True,159
100000,1,8,0.5508347466546216,108.02478032737842,1.9546099170163942,2.1797769222925822,1.1305447232643247e-12,0.0,1.1305447232643247e-12,0.5508347466546216,0.0,0.0,0.0,0.0,12.54172462434579,157.91169912763888,8.631981509662145,True,159
100000,2,16,0.5508347466546216,78.33451038313754,0.0,0.0,1.1305447232643247e-12,0.0,1.1305447232643247e-12,0.5508347466546216,0.0,0.0,0.0,0.0,1.4404370278138223,2.0829955323955343,1.0160726747671154,True,159
100000,3,24,0.5508347466546216,34.250312069729176,0.7397484225696089,0.3300325687295188,0.8484564045719788,0.9983428115011191,4.613703232019729,0.5864861265314807,0.004709473841692613,0.03565137987685907,1.0,36.30859375,2.114753284252481,4.48971941974001,1.2313763030155989,True,159
100000,4,32,0.5860858554311951,20.258015075072468,0.38406807359771683,0.0046093132817339975,1.0716718265429603e-12,0.0,1.0716718265429603e-12,0.5860858554311951,0.0,0.0,0.0,0.0,1.180285992729755,1.3985380639463492,0.8290677107810887,True,159
100000,5,40,0.5860858554311951,17.76329738063548,0.8279592145068227,0.633198262123494,0.6310994714408789,0.6993394040796886,2.3364714640751143,0.596834127243093,0.002233207374329266,0.01074827181189797,1.0,18.6640625,3.4142962903029854,11.703134527223686,2.1174567606678942,True,159
100000,6,48,0.5984629085726694,45.77502154945249,1.1174761146592307,1.2750912773421414,1.277555048526298e-12,0.0,1.277555048526298e-12,0.5984629085726693,1.1123978024676787e-16,-1.1102230246251565e-16,0.0,0.0,4.448714254299963,19.868670510593706,3.0636731532319725,True,159
100000,7,56,0.5984629085726694,56.706983939873254,0.010020545368689284,0.02004109073737857,0.9429469479316633,1.079423961364087,6.443892736325505,0.6438013471537194,0.006582242205398117,0.04533843858105002,1.0,9.88671875,2.1618329132075327,4.691849080096485,1.525042675689512,True,159
100000,8,64,0.6428344718214215,14.74908283141018,0.28123867636264843,0.140415611088362,2.99471196213181,1.792934960978104,40.41474810352493,0.5251163926645942,0.019006372209556165,-0.1177180791568273,1.0,78.41015625,7.773370026035968,60.6622434501519,4.231294440615958,True,159
100000,9,72,0.5259421423886306,14.897150381597687,3.3487247194802565,3.551470805001613,35.765300038884746,37.62835445970765,46.579425699448684,0.22157082022845975,0.22388622786794316,-0.3043713221601708,0.99609375,51.7421875,59.36148048105468,3537.6041310395076,39.34592314734162,True,159
100000,10,80,0.032937413929449495,14.774889241708115,0.5009684436240571,0.7945341292507686,1.8955619417384109,2.1459966268911272,9.32433234232225,0.010655997307705334,0.0028950859262691043,-0.02228141662174416,1.0,41.94140625,3.71314045282984,13.841480304882333,2.5971591240274257,True,159
100000,11,88,0.014281528864476398,40.99143482680352,0.0187804754108831,0.0046093132817339975,1.0726590162950995,1.2299124657212699,16.391333698227655,0.020774248658771255,0.0008952748156624908,0.0064927197942948565,1.0,20.9765625,2.0204209355024654,4.098108994877899,1.4269661384224077,True,159
100000,12,96,0.019869569954919702,14.123150592895277,0.04343270849314797,0.0,1.1662704806610003,1.4388751343510136,60.114145441839064,0.17853992358841247,0.0012182640447104983,0.15867035363349277,1.0,78.99609375,1.6486393725174329,2.728670650342573,1.162848260869608,True,159
100000,13,104,0.17812405773955445,14.929743155084308,0.022022940574058916,0.0,1.2848763464045643,1.4597636709779576,15.679387412109856,0.18418888912960174,0.0085805993210862,0.006064831390047293,1.0,77.15625,1.9524490967618884,3.8270067204480593,1.3511978056275988,True,159
100000,14,112,0.17909996790457686,14.878422727353023,1.1525814029010655,1.90089446944213,6.076542852079661,6.868744045006751,9.869823273811575,0.27942497070160094,0.06425086900549795,0.10032500279702408,1.0,48.9921875,10.188041876927194,104.20324119694783,6.743011162751683,True,159
100000,15,120,0.32684394635204256,14.91045898956244,0.8186616168905013,0.0,1.1122542050025437,1.3306070809721966,10.818351360692184,0.4462138151075841,0.01155030110000346,0.11936986875554156,1.0,92.20703125,1.6687393893739653,2.795611507097786,1.1513582715722805,True,159
100000,16,128,0.4436481530148183,14.980658025370499,1.7287657024508143,1.0984323306363717,2.088844591809794,2.3832694634833023,4.4842113345206585,0.4799126935997042,0.013206569629291499,0.036264540584885874,1.0,54.27734375,7.571257570922671,57.548740974686204,4.038522279735325,True,159
100000,17,136,0.4868845179900178,16.477785924226446,1.7449059854701399,2.016050778089252,1.1039282449210122e-12,7.62939453125e-06,1.1039282449210122e-12,0.4868845179900178,0.0,0.0,0.0,0.0,6.426233090995972,41.45841868781085,4.540703768107035,True,159
100000,18,144,0.4868845179900178,49.36127463712623,1.0228290157167437,1.4063510537698722,3.286074474597773,3.743995877040443,5.16018401260156,0.5846596071175486,0.0620234660202306,0.0977750891275308,0.9140625,11.4921875,4.105052119243108,16.91753703072859,2.8862223352393714,True,159
100000,19,152,0.607428305604221,14.847947204346424,0.0167825801911669,0.028955847100599803,1.7531148860999812,2.004513440539581,17.243961393701785,0.9313631307408188,0.029147058725449915,0.32393482513659777,1.0,78.69140625,2.155067735473088,4.662529952102494,1.5084162668224255,True,159
100001,0,0,0.002174449474807536,14.234148634854114,1.0346531026061627,0.5779842234957934,5.416713883006926,3.9087135269310953,68.45105469238074,3.784162068346864e-05,0.0006054659309354981,-0.0021366078541240675,1.0,79.01953125,5.9239840096414715,35.23120845451329,3.948964093300508,False,300
100001,1,8,0.0,14.18615765312625,1.0512100833003826,1.173194828178226,2.8142795516212824,3.2196450092886875,43.41168687658485,0.0,0.0,0.0,1.0,55.87890625,4.802689187277232,23.156277639117427,3.250095622077212,False,300
