example_id,outlier_score_max_abs_pair_ll_change,kept_for_robust
0,45.9931640625,True
1,50.336669921875,True
2,25.5914306640625,True
3,18.7916259765625,True
4,47.4774169921875,True
5,79.0611572265625,True
6,57.9080810546875,True
7,92.8408203125,True
8,117.6043701171875,False
9,63.7833251953125,True
10,82.31207275390625,True
11,112.234619140625,False
12,79.43817138671875,True
13,70.9393310546875,True
14,93.518798828125,True
15,91.05859375,True
16,72.6629638671875,True
17,53.3687744140625,True
18,106.75531005859375,True
19,137.6541748046875,False
20,45.6583251953125,True
21,118.8663330078125,False
22,117.82177734375,False
23,94.105712890625,True
24,126.165771484375,False
25,69.0458984375,True
26,74.626708984375,True
27,91.65509033203125,True
28,97.9234619140625,True
29,119.7626953125,False
30,140.38232421875,False
31,111.66571044921875,True
32,95.8065185546875,True
33,142.1002197265625,False
34,99.65966796875,True
35,80.6162109375,True
36,120.5731201171875,False
37,95.406005859375,True
38,83.76934814453125,True
39,106.2491455078125,True
40,112.21923828125,True
41,78.87300048828138,True
42,120.81805419921875,False
43,75.0535888671875,True
44,92.576171875,True
45,91.816162109375,True
46,86.376220703125,True
47,55.246337890625,True
48,103.3642578125,True
49,125.3397216796875,False
50,73.6795654296875,True
51,132.10052490234375,False
52,100.728759765625,True
53,72.3240966796875,True
54,131.55572509765625,False
55,113.407958984375,False
56,125.2315673828125,False
57,125.2525634765625,False
58,67.63934326171875,True
59,103.922607421875,True
60,99.6566162109375,True
61,121.1552734375,False
62,154.08544921875,False
63,106.0401611328125,True
64,99.14898681640625,True
65,91.822021484375,True
66,37.912109375,True
67,55.75146484375,True
68,50.9583740234375,True
69,70.89801025390625,True
70,69.66485595703125,True
71,78.87300048828138,True
72,38.2205810546875,True
73,28.5860595703125,True
74,57.64605712890625,True
75,19.94146728515625,True
76,37.57733154296875,True
77,65.4609375,True
78,75.18304443359375,True
79,29.72283935546875,True
80,61.4739990234375,True
81,13.026023864746094,True
82,30.0098876953125,True
83,23.64990234375,True
84,52.267333984375,True
85,17.75396728515625,True
86,19.626251220703125,True
87,45.15972900390625,True
88,39.676025390625,True
89,59.0753173828125,True
90,32.054962158203125,True
91,74.0379638671875,True
92,47.68701171875,True
93,39.44024658203125,True
94,117.1011962890625,False
95,80.1207275390625,True
96,36.7890625,True
97,93.70401000976562,True
98,20.12872314453125,True
99,33.48291015625,True
100,39.5618896484375,True
101,18.590606689453125,True
102,14.78057861328125,True
103,19.058837890625,True
104,187.70877075195312,False
105,46.212158203125,True
106,40.7503662109375,True
107,50.9212646484375,True
108,34.10650634765625,True
109,73.95367431640625,True
110,33.80999755859375,True
111,50.5404052734375,True
112,45.2215576171875,True
113,33.2158203125,True
114,46.35772705078125,True
115,52.13275146484375,True
116,39.43841552734375,True
117,42.04522705078125,True
118,52.575439453125,True
119,58.1123046875,True
