step_from,step_to,horizon,kl_raw_bits_per_byte,kl_raw_ci_low,kl_raw_ci_high,kl_robust_bits_per_byte,kl_robust_ci_low,kl_robust_ci_high
2000,3000,1000,0.5491199864088406,0.46057111797528494,0.6748806580523814,0.3674829254500231,0.33519815668411623,0.4000621588253852
5000,6000,1000,0.0991568458362235,0.08428753522548851,0.11664719063926565,0.09073194055525546,0.07906675579733033,0.11043908430550427
10000,11000,1000,0.07364627462748106,0.0664634191822748,0.08105874372958911,0.06983622795037701,0.06233859613649664,0.07710854996323291
20000,21000,1000,0.07054917892001694,0.06189073856781655,0.08084197501871657,0.0671239147576686,0.05666804145404695,0.07696733296425302
50000,51000,1000,0.05513415185461119,0.04837814897569145,0.06374145369045367,0.05302407102080388,0.04629046978318539,0.06183962293264715
100000,101000,1000,0.02453394587672434,0.02225580938455456,0.027389786377045113,0.025927484788528507,0.023526984977331116,0.02825392742112319
142000,143000,1000,0.020785436827141714,0.018875933237565746,0.022947800948429423,0.019722967329791473,0.017713704339680756,0.0217890429080778
