step_from,step_to,horizon,kl_raw_bits_per_byte,kl_raw_ci_low,kl_raw_ci_high,kl_robust_bits_per_byte,kl_robust_ci_low,kl_robust_ci_high,layer_idx,cosine_drift,cosine_ci_low,cosine_ci_high,standardized_drift,standardized_ci_low,standardized_ci_high,projected_linear_cka,cka_ci_low,cka_ci_high,cka_movement,cka_projection_dim
2000,3000,1000,0.5491199864088406,0.4605711179752849,0.6748806580523814,0.3674829254500231,0.3351981566841162,0.4000621588253852,12,0.19012684087575352,0.18783386210462105,0.19234057846327574,0.48594245863490165,0.467916603726097,0.5061628394551368,0.4271257453614836,0.3803530468975778,0.4974479889550874,0.5728742546385164,128
5000,6000,1000,0.0991568458362235,0.0842875352254885,0.1166471906392656,0.0907319405552554,0.0790667557973303,0.1104390843055042,12,0.08473798719889197,0.0835875731090174,0.08603667432919535,0.19045301521779806,0.18445900542119004,0.1974168235078472,0.8007148776321427,0.6832886623242503,0.859840651241088,0.19928512236785734,128
10000,11000,1000,0.073646274627481,0.0664634191822748,0.0810587437295891,0.069836227950377,0.0623385961364966,0.0771085499632329,12,0.05772128498506538,0.05705886291427668,0.05851393436064155,0.14200476253538089,0.1398168866262508,0.14469306496096593,0.9510465628058591,0.9051263341431607,0.9880556200784043,0.048953437194140914,128
20000,21000,1000,0.0705491789200169,0.0618907385678165,0.0808419750187165,0.0671239147576686,0.0566680414540469,0.076967332964253,12,0.0403616347448352,0.039816110995706276,0.041014770112476784,0.12276840994358848,0.11937458219963346,0.1267995772921848,0.9149953498135274,0.8535176360983505,0.9693946634573967,0.08500465018647263,128
50000,51000,1000,0.0551341518546111,0.0483781489756914,0.0637414536904536,0.0530240710208038,0.0462904697831853,0.0618396229326471,12,0.027450108255069116,0.026937587276459563,0.028036733740792377,0.09439261128876049,0.09126718763973905,0.09943908547028994,0.9334048194610383,0.9029291806201115,0.9947070127299602,0.06659518053896174,128
100000,101000,1000,0.0245339458767243,0.0222558093845545,0.0273897863770451,0.0259274847885285,0.0235269849773311,0.0282539274211231,12,0.010789160720209304,0.010458137469458336,0.011224116207341787,0.03343555079466474,0.03197720628040748,0.035559529978072144,0.9850962535037232,0.9621932251533009,0.9981039596589415,0.014903746496276793,128
142000,143000,1000,0.0207854368271417,0.0188759332375657,0.0229478009484294,0.0197229673297914,0.0177137043396807,0.0217890429080778,12,0.0057402734774213045,0.005631290164294971,0.005841366969055414,0.01665844150915481,0.016365166065109692,0.016959648688499446,0.9997881921853525,0.9995200596805724,0.9999699480916293,0.0002118078146474689,128
