suite,task_id,init_idx,env_seed,sim_state_hash,checkpoint,policy_seed,success,status,steps,replans
libero_10,1,4,7,896591daa33ea31c38f6599a66ea9b8c377fcfafffd8937c13a098b50a64dbe1,2k,110007,1,ok,252,51
libero_10,1,5,7,9212824cbd502fd8b2b98012bb534204a263d44bbab928e2e448437b9d4da7c4,2k,110000,0,ok,520,104
libero_10,1,5,7,9212824cbd502fd8b2b98012bb534204a263d44bbab928e2e448437b9d4da7c4,2k,110001,0,ok,520,104
libero_10,1,5,7,9212824cbd502fd8b2b98012bb534204a263d44bbab928e2e448437b9d4da7c4,2k,110002,1,ok,282,57
libero_10,1,5,7,9212824cbd502fd8b2b98012bb534204a263d44bbab928e2e448437b9d4da7c4,2k,110003,1,ok,247,50
libero_10,1,5,7,9212824cbd502fd8b2b98012bb534204a263d44bbab928e2e448437b9d4da7c4,2k,110004,0,ok,520,104
libero_10,1,5,7,9212824cbd502fd8b2b98012bb534204a263d44bbab928e2e448437b9d4da7c4,2k,110005,1,ok,257,52
libero_10,1,5,7,9212824cbd502fd8b2b98012bb534204a263d44bbab928e2e448437b9d4da7c4,2k,110006,0,ok,520,104
libero_10,1,5,7,9212824cbd502fd8b2b98012bb534204a263d44bbab928e2e448437b9d4da7c4,2k,110007,1,ok,242,49
libero_10,1,6,7,a6c514a1cc215d96f5ab8534c6b3599cb7a2cd390c27a5a15775603943bec26d,2k,110000,0,ok,520,104
libero_10,1,6,7,a6c514a1cc215d96f5ab8534c6b3599cb7a2cd390c27a5a15775603943bec26d,2k,110001,1,ok,247,50
libero_10,1,6,7,a6c514a1cc215d96f5ab8534c6b3599cb7a2cd390c27a5a15775603943bec26d,2k,110002,1,ok,261,53
libero_10,1,6,7,a6c514a1cc215d96f5ab8534c6b3599cb7a2cd390c27a5a15775603943bec26d,2k,110003,1,ok,302,61
libero_10,1,6,7,a6c514a1cc215d96f5ab8534c6b3599cb7a2cd390c27a5a15775603943bec26d,2k,110004,1,ok,354,71
libero_10,1,6,7,a6c514a1cc215d96f5ab8534c6b3599cb7a2cd390c27a5a15775603943bec26d,2k,110005,1,ok,320,64
libero_10,1,6,7,a6c514a1cc215d96f5ab8534c6b3599cb7a2cd390c27a5a15775603943bec26d,2k,110006,1,ok,387,78
libero_10,1,6,7,a6c514a1cc215d96f5ab8534c6b3599cb7a2cd390c27a5a15775603943bec26d,2k,110007,0,ok,520,104
libero_10,1,7,7,f993425e6be65e134a45a469db08f2f628c5cce344a770616d73273f3dcfa812,2k,110000,1,ok,420,84
libero_10,1,7,7,f993425e6be65e134a45a469db08f2f628c5cce344a770616d73273f3dcfa812,2k,110001,0,ok,520,104
libero_10,1,7,7,f993425e6be65e134a45a469db08f2f628c5cce344a770616d73273f3dcfa812,2k,110002,0,ok,520,104
libero_10,1,7,7,f993425e6be65e134a45a469db08f2f628c5cce344a770616d73273f3dcfa812,2k,110003,1,ok,438,88
libero_10,1,7,7,f993425e6be65e134a45a469db08f2f628c5cce344a770616d73273f3dcfa812,2k,110004,1,ok,397,80
libero_10,1,7,7,f993425e6be65e134a45a469db08f2f628c5cce344a770616d73273f3dcfa812,2k,110005,1,ok,506,102
libero_10,1,7,7,f993425e6be65e134a45a469db08f2f628c5cce344a770616d73273f3dcfa812,2k,110006,0,ok,520,104
libero_10,1,7,7,f993425e6be65e134a45a469db08f2f628c5cce344a770616d73273f3dcfa812,2k,110007,0,ok,520,104
libero_10,1,8,7,490bce07769bbb068c8f8d22b87a122e9785c0eb9915f9387fc82c85de0355db,2k,110000,0,ok,520,104
libero_10,1,8,7,490bce07769bbb068c8f8d22b87a122e9785c0eb9915f9387fc82c85de0355db,2k,110001,0,ok,520,104
libero_10,1,8,7,490bce07769bbb068c8f8d22b87a122e9785c0eb9915f9387fc82c85de0355db,2k,110002,1,ok,262,53
libero_10,1,8,7,490bce07769bbb068c8f8d22b87a122e9785c0eb9915f9387fc82c85de0355db,2k,110003,1,ok,261,53
libero_10,1,8,7,490bce07769bbb068c8f8d22b87a122e9785c0eb9915f9387fc82c85de0355db,2k,110004,1,ok,282,57
libero_10,1,8,7,490bce07769bbb068c8f8d22b87a122e9785c0eb9915f9387fc82c85de0355db,2k,110005,1,ok,245,49
libero_10,1,8,7,490bce07769bbb068c8f8d22b87a122e9785c0eb9915f9387fc82c85de0355db,2k,110006,1,ok,347,70
libero_10,1,8,7,490bce07769bbb068c8f8d22b87a122e9785c0eb9915f9387fc82c85de0355db,2k,110007,0,ok,520,104
libero_10,1,9,7,54ebd5b648595ddffd70e94a2483be3d11d0f99336f6cdbfe223079d4e1f35ea,2k,110000,0,ok,520,104
libero_10,1,9,7,54ebd5b648595ddffd70e94a2483be3d11d0f99336f6cdbfe223079d4e1f35ea,2k,110001,1,ok,297,60
libero_10,1,9,7,54ebd5b648595ddffd70e94a2483be3d11d0f99336f6cdbfe223079d4e1f35ea,2k,110002,1,ok,392,79
libero_10,1,9,7,54ebd5b648595ddffd70e94a2483be3d11d0f99336f6cdbfe223079d4e1f35ea,2k,110003,1,ok,254,51
libero_10,1,9,7,54ebd5b648595ddffd70e94a2483be3d11d0f99336f6cdbfe223079d4e1f35ea,2k,110004,1,ok,292,59
libero_10,1,9,7,54ebd5b648595ddffd70e94a2483be3d11d0f99336f6cdbfe223079d4e1f35ea,2k,110005,1,ok,384,77
libero_10,1,9,7,54ebd5b648595ddffd70e94a2483be3d11d0f99336f6cdbfe223079d4e1f35ea,2k,110006,1,ok,242,49
libero_10,1,9,7,54ebd5b648595ddffd70e94a2483be3d11d0f99336f6cdbfe223079d4e1f35ea,2k,110007,1,ok,236,48
libero_10,1,10,7,83c0f4798f96ac0c91fd0292b700e7e0c07d03999ed6b9607f6f7e7dce540621,2k,110000,0,ok,520,104
libero_10,1,10,7,83c0f4798f96ac0c91fd0292b700e7e0c07d03999ed6b9607f6f7e7dce540621,2k,110001,1,ok,244,49
libero_10,1,10,7,83c0f4798f96ac0c91fd0292b700e7e0c07d03999ed6b9607f6f7e7dce540621,2k,110002,1,ok,391,79
libero_10,1,10,7,83c0f4798f96ac0c91fd0292b700e7e0c07d03999ed6b9607f6f7e7dce540621,2k,110003,1,ok,202,41
libero_10,1,10,7,83c0f4798f96ac0c91fd0292b700e7e0c07d03999ed6b9607f6f7e7dce540621,2k,110004,1,ok,383,77
libero_10,1,10,7,83c0f4798f96ac0c91fd0292b700e7e0c07d03999ed6b9607f6f7e7dce540621,2k,110005,1,ok,259,52
libero_10,1,10,7,83c0f4798f96ac0c91fd0292b700e7e0c07d03999ed6b9607f6f7e7dce540621,2k,110006,1,ok,224,45
libero_10,1,10,7,83c0f4798f96ac0c91fd0292b700e7e0c07d03999ed6b9607f6f7e7dce540621,2k,110007,1,ok,319,64
libero_10,1,11,7,8ffb3e617c2c33a4a121424106469daa82d81676c118cc2f28ecbe81fd7a0885,2k,110000,1,ok,282,57
libero_10,1,11,7,8ffb3e617c2c33a4a121424106469daa82d81676c118cc2f28ecbe81fd7a0885,2k,110001,1,ok,300,60
libero_10,1,11,7,8ffb3e617c2c33a4a121424106469daa82d81676c118cc2f28ecbe81fd7a0885,2k,110002,1,ok,317,64
libero_10,1,11,7,8ffb3e617c2c33a4a121424106469daa82d81676c118cc2f28ecbe81fd7a0885,2k,110003,1,ok,384,77
libero_10,1,11,7,8ffb3e617c2c33a4a121424106469daa82d81676c118cc2f28ecbe81fd7a0885,2k,110004,0,ok,520,104
libero_10,1,11,7,8ffb3e617c2c33a4a121424106469daa82d81676c118cc2f28ecbe81fd7a0885,2k,110005,0,ok,520,104
libero_10,1,11,7,8ffb3e617c2c33a4a121424106469daa82d81676c118cc2f28ecbe81fd7a0885,2k,110006,1,ok,241,49
libero_10,1,11,7,8ffb3e617c2c33a4a121424106469daa82d81676c118cc2f28ecbe81fd7a0885,2k,110007,1,ok,257,52
libero_10,1,12,7,6a70be94a268dfbe92b3a75afaefc17759040598459bf6b171eb9a881fa60f6e,2k,110000,1,ok,392,79
libero_10,1,12,7,6a70be94a268dfbe92b3a75afaefc17759040598459bf6b171eb9a881fa60f6e,2k,110001,1,ok,237,48
libero_10,1,12,7,6a70be94a268dfbe92b3a75afaefc17759040598459bf6b171eb9a881fa60f6e,2k,110002,1,ok,337,68
libero_10,1,12,7,6a70be94a268dfbe92b3a75afaefc17759040598459bf6b171eb9a881fa60f6e,2k,110003,1,ok,247,50
libero_10,1,12,7,6a70be94a268dfbe92b3a75afaefc17759040598459bf6b171eb9a881fa60f6e,2k,110004,1,ok,324,65
libero_10,1,12,7,6a70be94a268dfbe92b3a75afaefc17759040598459bf6b171eb9a881fa60f6e,2k,110005,1,ok,315,63
libero_10,1,12,7,6a70be94a268dfbe92b3a75afaefc17759040598459bf6b171eb9a881fa60f6e,2k,110006,1,ok,220,44
libero_10,1,12,7,6a70be94a268dfbe92b3a75afaefc17759040598459bf6b171eb9a881fa60f6e,2k,110007,0,ok,520,104
libero_10,1,13,7,c5dff818ca3fa482220fc7fb72ad87455cf9904694e203a81a730def3b5e9214,2k,110000,1,ok,431,87
libero_10,1,13,7,c5dff818ca3fa482220fc7fb72ad87455cf9904694e203a81a730def3b5e9214,2k,110001,1,ok,289,58
libero_10,1,13,7,c5dff818ca3fa482220fc7fb72ad87455cf9904694e203a81a730def3b5e9214,2k,110002,1,ok,230,46
libero_10,1,13,7,c5dff818ca3fa482220fc7fb72ad87455cf9904694e203a81a730def3b5e9214,2k,110003,1,ok,231,47
libero_10,1,13,7,c5dff818ca3fa482220fc7fb72ad87455cf9904694e203a81a730def3b5e9214,2k,110004,1,ok,482,97
libero_10,1,13,7,c5dff818ca3fa482220fc7fb72ad87455cf9904694e203a81a730def3b5e9214,2k,110005,1,ok,227,46
libero_10,1,13,7,c5dff818ca3fa482220fc7fb72ad87455cf9904694e203a81a730def3b5e9214,2k,110006,0,ok,520,104
libero_10,1,13,7,c5dff818ca3fa482220fc7fb72ad87455cf9904694e203a81a730def3b5e9214,2k,110007,0,ok,520,104
libero_10,1,14,7,2f2429b9fa620bea8441bd82224557879d1f76fd117d05f07cbc6e17ca3ba4fb,2k,110000,1,ok,282,57
libero_10,1,14,7,2f2429b9fa620bea8441bd82224557879d1f76fd117d05f07cbc6e17ca3ba4fb,2k,110001,1,ok,271,55
libero_10,1,14,7,2f2429b9fa620bea8441bd82224557879d1f76fd117d05f07cbc6e17ca3ba4fb,2k,110002,1,ok,307,62
libero_10,1,14,7,2f2429b9fa620bea8441bd82224557879d1f76fd117d05f07cbc6e17ca3ba4fb,2k,110003,0,ok,520,104
libero_10,1,14,7,2f2429b9fa620bea8441bd82224557879d1f76fd117d05f07cbc6e17ca3ba4fb,2k,110004,1,ok,403,81
libero_10,1,14,7,2f2429b9fa620bea8441bd82224557879d1f76fd117d05f07cbc6e17ca3ba4fb,2k,110005,1,ok,394,79
libero_10,1,14,7,2f2429b9fa620bea8441bd82224557879d1f76fd117d05f07cbc6e17ca3ba4fb,2k,110006,1,ok,397,80
libero_10,1,14,7,2f2429b9fa620bea8441bd82224557879d1f76fd117d05f07cbc6e17ca3ba4fb,2k,110007,1,ok,243,49
libero_10,5,0,7,bc2bdadbc9e4130ff604adc783ec26e1fd8a215019171be33e4dd579c16c9248,2k,110000,1,ok,140,28
libero_10,5,0,7,bc2bdadbc9e4130ff604adc783ec26e1fd8a215019171be33e4dd579c16c9248,2k,110001,1,ok,280,56
libero_10,5,0,7,bc2bdadbc9e4130ff604adc783ec26e1fd8a215019171be33e4dd579c16c9248,2k,110002,1,ok,174,35
libero_10,5,0,7,bc2bdadbc9e4130ff604adc783ec26e1fd8a215019171be33e4dd579c16c9248,2k,110003,1,ok,218,44
libero_10,5,0,7,bc2bdadbc9e4130ff604adc783ec26e1fd8a215019171be33e4dd579c16c9248,2k,110004,1,ok,161,33
libero_10,5,0,7,bc2bdadbc9e4130ff604adc783ec26e1fd8a215019171be33e4dd579c16c9248,2k,110005,1,ok,214,43
libero_10,5,0,7,bc2bdadbc9e4130ff604adc783ec26e1fd8a215019171be33e4dd579c16c9248,2k,110006,1,ok,189,38
libero_10,5,0,7,bc2bdadbc9e4130ff604adc783ec26e1fd8a215019171be33e4dd579c16c9248,2k,110007,1,ok,191,39
libero_10,5,1,7,f09dd2ac871d85ef3ad8433143279ff981fff8e69519aa64aba7b178022d084a,2k,110000,1,ok,219,44
libero_10,5,1,7,f09dd2ac871d85ef3ad8433143279ff981fff8e69519aa64aba7b178022d084a,2k,110001,1,ok,198,40
libero_10,5,1,7,f09dd2ac871d85ef3ad8433143279ff981fff8e69519aa64aba7b178022d084a,2k,110002,1,ok,201,41
libero_10,5,1,7,f09dd2ac871d85ef3ad8433143279ff981fff8e69519aa64aba7b178022d084a,2k,110003,0,ok,520,104
libero_10,5,1,7,f09dd2ac871d85ef3ad8433143279ff981fff8e69519aa64aba7b178022d084a,2k,110004,0,ok,520,104
libero_10,5,1,7,f09dd2ac871d85ef3ad8433143279ff981fff8e69519aa64aba7b178022d084a,2k,110005,1,ok,198,40
libero_10,5,1,7,f09dd2ac871d85ef3ad8433143279ff981fff8e69519aa64aba7b178022d084a,2k,110006,1,ok,224,45
libero_10,5,1,7,f09dd2ac871d85ef3ad8433143279ff981fff8e69519aa64aba7b178022d084a,2k,110007,1,ok,244,49
libero_10,5,2,7,dba9e2856060bbfa893093dbfa7049567c39bffbc83e737a3225a465fef6a8b3,2k,110000,1,ok,203,41
libero_10,5,2,7,dba9e2856060bbfa893093dbfa7049567c39bffbc83e737a3225a465fef6a8b3,2k,110001,1,ok,177,36
libero_10,5,2,7,dba9e2856060bbfa893093dbfa7049567c39bffbc83e737a3225a465fef6a8b3,2k,110002,1,ok,219,44
libero_10,5,2,7,dba9e2856060bbfa893093dbfa7049567c39bffbc83e737a3225a465fef6a8b3,2k,110003,1,ok,356,72
libero_10,5,2,7,dba9e2856060bbfa893093dbfa7049567c39bffbc83e737a3225a465fef6a8b3,2k,110004,1,ok,247,50
libero_10,5,2,7,dba9e2856060bbfa893093dbfa7049567c39bffbc83e737a3225a465fef6a8b3,2k,110005,1,ok,203,41
libero_10,5,2,7,dba9e2856060bbfa893093dbfa7049567c39bffbc83e737a3225a465fef6a8b3,2k,110006,1,ok,156,32
libero_10,5,2,7,dba9e2856060bbfa893093dbfa7049567c39bffbc83e737a3225a465fef6a8b3,2k,110007,1,ok,139,28
libero_10,5,3,7,f94d2517c0f954e6de14bd0e100f42543b3167b84080500d866d088e189fbbca,2k,110000,0,ok,520,104
libero_10,5,3,7,f94d2517c0f954e6de14bd0e100f42543b3167b84080500d866d088e189fbbca,2k,110001,1,ok,179,36
libero_10,5,3,7,f94d2517c0f954e6de14bd0e100f42543b3167b84080500d866d088e189fbbca,2k,110002,1,ok,173,35
libero_10,5,3,7,f94d2517c0f954e6de14bd0e100f42543b3167b84080500d866d088e189fbbca,2k,110003,1,ok,162,33
libero_10,5,3,7,f94d2517c0f954e6de14bd0e100f42543b3167b84080500d866d088e189fbbca,2k,110004,1,ok,189,38
libero_10,5,3,7,f94d2517c0f954e6de14bd0e100f42543b3167b84080500d866d088e189fbbca,2k,110005,1,ok,225,45
libero_10,5,3,7,f94d2517c0f954e6de14bd0e100f42543b3167b84080500d866d088e189fbbca,2k,110006,1,ok,191,39
libero_10,5,3,7,f94d2517c0f954e6de14bd0e100f42543b3167b84080500d866d088e189fbbca,2k,110007,1,ok,181,37
libero_10,5,4,7,41bba0929a8c56d0a032d751e0df8db3dd58f938163938e706f72fb22a7d836f,2k,110000,1,ok,152,31
libero_10,5,4,7,41bba0929a8c56d0a032d751e0df8db3dd58f938163938e706f72fb22a7d836f,2k,110001,1,ok,192,39
libero_10,5,4,7,41bba0929a8c56d0a032d751e0df8db3dd58f938163938e706f72fb22a7d836f,2k,110002,1,ok,193,39
libero_10,5,4,7,41bba0929a8c56d0a032d751e0df8db3dd58f938163938e706f72fb22a7d836f,2k,110003,0,ok,520,104
libero_10,5,4,7,41bba0929a8c56d0a032d751e0df8db3dd58f938163938e706f72fb22a7d836f,2k,110004,0,ok,520,104
libero_10,5,4,7,41bba0929a8c56d0a032d751e0df8db3dd58f938163938e706f72fb22a7d836f,2k,110005,0,ok,520,104
libero_10,5,4,7,41bba0929a8c56d0a032d751e0df8db3dd58f938163938e706f72fb22a7d836f,2k,110006,1,ok,200,40
libero_10,5,4,7,41bba0929a8c56d0a032d751e0df8db3dd58f938163938e706f72fb22a7d836f,2k,110007,1,ok,176,36
libero_10,5,5,7,8ffcce71297a98d4750a5eed26ad5c9cd6745710403077b5085f16462ba2ed8b,2k,110000,0,ok,520,104
libero_10,5,5,7,8ffcce71297a98d4750a5eed26ad5c9cd6745710403077b5085f16462ba2ed8b,2k,110001,1,ok,157,32
libero_10,5,5,7,8ffcce71297a98d4750a5eed26ad5c9cd6745710403077b5085f16462ba2ed8b,2k,110002,1,ok,178,36
libero_10,5,5,7,8ffcce71297a98d4750a5eed26ad5c9cd6745710403077b5085f16462ba2ed8b,2k,110003,1,ok,162,33
libero_10,5,5,7,8ffcce71297a98d4750a5eed26ad5c9cd6745710403077b5085f16462ba2ed8b,2k,110004,1,ok,196,40
libero_10,5,5,7,8ffcce71297a98d4750a5eed26ad5c9cd6745710403077b5085f16462ba2ed8b,2k,110005,0,ok,520,104
libero_10,5,5,7,8ffcce71297a98d4750a5eed26ad5c9cd6745710403077b5085f16462ba2ed8b,2k,110006,1,ok,169,34
libero_10,5,5,7,8ffcce71297a98d4750a5eed26ad5c9cd6745710403077b5085f16462ba2ed8b,2k,110007,1,ok,157,32
libero_10,5,6,7,60dce980a3fbe5f59b8a3d9778e4c8393f8986a3680a7e7cc8aab78e5f5159d1,2k,110000,1,ok,174,35
libero_10,5,6,7,60dce980a3fbe5f59b8a3d9778e4c8393f8986a3680a7e7cc8aab78e5f5159d1,2k,110001,1,ok,173,35
libero_10,5,6,7,60dce980a3fbe5f59b8a3d9778e4c8393f8986a3680a7e7cc8aab78e5f5159d1,2k,110002,1,ok,198,40
libero_10,5,6,7,60dce980a3fbe5f59b8a3d9778e4c8393f8986a3680a7e7cc8aab78e5f5159d1,2k,110003,1,ok,196,40
libero_10,5,6,7,60dce980a3fbe5f59b8a3d9778e4c8393f8986a3680a7e7cc8aab78e5f5159d1,2k,110004,1,ok,167,34
libero_10,5,6,7,60dce980a3fbe5f59b8a3d9778e4c8393f8986a3680a7e7cc8aab78e5f5159d1,2k,110005,1,ok,136,28
libero_10,5,6,7,60dce980a3fbe5f59b8a3d9778e4c8393f8986a3680a7e7cc8aab78e5f5159d1,2k,110006,1,ok,174,35
libero_10,5,6,7,60dce980a3fbe5f59b8a3d9778e4c8393f8986a3680a7e7cc8aab78e5f5159d1,2k,110007,0,ok,520,104
libero_10,5,7,7,40f65d1c4537b85e35b49fd1fc1bc613c97ecbc73429928f4d72e557ea34c677,2k,110000,1,ok,172,35
libero_10,5,7,7,40f65d1c4537b85e35b49fd1fc1bc613c97ecbc73429928f4d72e557ea34c677,2k,110001,0,ok,520,104
libero_10,5,7,7,40f65d1c4537b85e35b49fd1fc1bc613c97ecbc73429928f4d72e557ea34c677,2k,110002,1,ok,179,36
libero_10,5,7,7,40f65d1c4537b85e35b49fd1fc1bc613c97ecbc73429928f4d72e557ea34c677,2k,110003,1,ok,190,38
libero_10,5,7,7,40f65d1c4537b85e35b49fd1fc1bc613c97ecbc73429928f4d72e557ea34c677,2k,110004,1,ok,166,34
libero_10,5,7,7,40f65d1c4537b85e35b49fd1fc1bc613c97ecbc73429928f4d72e557ea34c677,2k,110005,0,ok,520,104
libero_10,5,7,7,40f65d1c4537b85e35b49fd1fc1bc613c97ecbc73429928f4d72e557ea34c677,2k,110006,0,ok,520,104
libero_10,5,7,7,40f65d1c4537b85e35b49fd1fc1bc613c97ecbc73429928f4d72e557ea34c677,2k,110007,1,ok,218,44
libero_10,5,8,7,9e1aefabe8b63098c2fee7f1107be367e10e92c3fa9058d189ebd900d297596e,2k,110000,1,ok,161,33
libero_10,5,8,7,9e1aefabe8b63098c2fee7f1107be367e10e92c3fa9058d189ebd900d297596e,2k,110001,1,ok,143,29
libero_10,5,8,7,9e1aefabe8b63098c2fee7f1107be367e10e92c3fa9058d189ebd900d297596e,2k,110002,1,ok,220,44
libero_10,5,8,7,9e1aefabe8b63098c2fee7f1107be367e10e92c3fa9058d189ebd900d297596e,2k,110003,1,ok,170,34
libero_10,5,8,7,9e1aefabe8b63098c2fee7f1107be367e10e92c3fa9058d189ebd900d297596e,2k,110004,1,ok,179,36
libero_10,5,8,7,9e1aefabe8b63098c2fee7f1107be367e10e92c3fa9058d189ebd900d297596e,2k,110005,1,ok,190,38
libero_10,5,8,7,9e1aefabe8b63098c2fee7f1107be367e10e92c3fa9058d189ebd900d297596e,2k,110006,1,ok,188,38
libero_10,5,8,7,9e1aefabe8b63098c2fee7f1107be367e10e92c3fa9058d189ebd900d297596e,2k,110007,0,ok,520,104
libero_10,5,9,7,0d1c17220737730b25c47502b6338394aec8076f5683d3d2948c2c9f3a2e5b29,2k,110000,1,ok,147,30
libero_10,5,9,7,0d1c17220737730b25c47502b6338394aec8076f5683d3d2948c2c9f3a2e5b29,2k,110001,1,ok,266,54
libero_10,5,9,7,0d1c17220737730b25c47502b6338394aec8076f5683d3d2948c2c9f3a2e5b29,2k,110002,1,ok,203,41
libero_10,5,9,7,0d1c17220737730b25c47502b6338394aec8076f5683d3d2948c2c9f3a2e5b29,2k,110003,1,ok,162,33
libero_10,5,9,7,0d1c17220737730b25c47502b6338394aec8076f5683d3d2948c2c9f3a2e5b29,2k,110004,0,ok,520,104
libero_10,5,9,7,0d1c17220737730b25c47502b6338394aec8076f5683d3d2948c2c9f3a2e5b29,2k,110005,1,ok,171,35
libero_10,5,9,7,0d1c17220737730b25c47502b6338394aec8076f5683d3d2948c2c9f3a2e5b29,2k,110006,1,ok,163,33
libero_10,5,9,7,0d1c17220737730b25c47502b6338394aec8076f5683d3d2948c2c9f3a2e5b29,2k,110007,1,ok,177,36
libero_10,5,10,7,74aa4a3ab71b740e793ace61e78a1761ff6b94d5f180c36a3fb00f691e323d75,2k,110000,0,ok,520,104
libero_10,5,10,7,74aa4a3ab71b740e793ace61e78a1761ff6b94d5f180c36a3fb00f691e323d75,2k,110001,0,ok,520,104
