suite,task_id,init_idx,env_seed,sim_state_hash,checkpoint,policy_seed,success,status,steps,replans
libero_10,3,0,7,dee9d60f856fe009a20ecfca9c67ddc9edc1f8fe50839d03a59694b459d03ccc,2k,110000,1,ok,215,43
libero_10,3,0,7,dee9d60f856fe009a20ecfca9c67ddc9edc1f8fe50839d03a59694b459d03ccc,2k,110001,0,ok,520,104
libero_10,3,0,7,dee9d60f856fe009a20ecfca9c67ddc9edc1f8fe50839d03a59694b459d03ccc,2k,110002,0,ok,520,104
libero_10,3,0,7,dee9d60f856fe009a20ecfca9c67ddc9edc1f8fe50839d03a59694b459d03ccc,2k,110003,1,ok,263,53
libero_10,3,0,7,dee9d60f856fe009a20ecfca9c67ddc9edc1f8fe50839d03a59694b459d03ccc,2k,110004,1,ok,224,45
libero_10,3,0,7,dee9d60f856fe009a20ecfca9c67ddc9edc1f8fe50839d03a59694b459d03ccc,2k,110005,0,ok,520,104
libero_10,3,0,7,dee9d60f856fe009a20ecfca9c67ddc9edc1f8fe50839d03a59694b459d03ccc,2k,110006,0,ok,520,104
libero_10,3,0,7,dee9d60f856fe009a20ecfca9c67ddc9edc1f8fe50839d03a59694b459d03ccc,2k,110007,0,ok,520,104
libero_10,3,1,7,82fc9dacfe3fb0bbe32330fb6d1b4e6a88edf64338d745cec4a8105011025014,2k,110000,1,ok,484,97
libero_10,3,1,7,82fc9dacfe3fb0bbe32330fb6d1b4e6a88edf64338d745cec4a8105011025014,2k,110001,0,ok,520,104
libero_10,3,1,7,82fc9dacfe3fb0bbe32330fb6d1b4e6a88edf64338d745cec4a8105011025014,2k,110002,0,ok,520,104
libero_10,3,1,7,82fc9dacfe3fb0bbe32330fb6d1b4e6a88edf64338d745cec4a8105011025014,2k,110003,0,ok,520,104
libero_10,3,1,7,82fc9dacfe3fb0bbe32330fb6d1b4e6a88edf64338d745cec4a8105011025014,2k,110004,1,ok,242,49
libero_10,3,1,7,82fc9dacfe3fb0bbe32330fb6d1b4e6a88edf64338d745cec4a8105011025014,2k,110005,0,ok,520,104
libero_10,3,1,7,82fc9dacfe3fb0bbe32330fb6d1b4e6a88edf64338d745cec4a8105011025014,2k,110006,1,ok,232,47
libero_10,3,1,7,82fc9dacfe3fb0bbe32330fb6d1b4e6a88edf64338d745cec4a8105011025014,2k,110007,1,ok,306,62
libero_10,3,2,7,308959f119a19446d3cd34600c29001bbaf679233e5711f336e0e7e8e1dc2aa0,2k,110000,1,ok,356,72
libero_10,3,2,7,308959f119a19446d3cd34600c29001bbaf679233e5711f336e0e7e8e1dc2aa0,2k,110001,0,ok,520,104
libero_10,3,2,7,308959f119a19446d3cd34600c29001bbaf679233e5711f336e0e7e8e1dc2aa0,2k,110002,1,ok,438,88
libero_10,3,2,7,308959f119a19446d3cd34600c29001bbaf679233e5711f336e0e7e8e1dc2aa0,2k,110003,0,ok,520,104
libero_10,3,2,7,308959f119a19446d3cd34600c29001bbaf679233e5711f336e0e7e8e1dc2aa0,2k,110004,0,ok,520,104
libero_10,3,2,7,308959f119a19446d3cd34600c29001bbaf679233e5711f336e0e7e8e1dc2aa0,2k,110005,1,ok,278,56
libero_10,3,2,7,308959f119a19446d3cd34600c29001bbaf679233e5711f336e0e7e8e1dc2aa0,2k,110006,1,ok,435,87
libero_10,3,2,7,308959f119a19446d3cd34600c29001bbaf679233e5711f336e0e7e8e1dc2aa0,2k,110007,0,ok,520,104
libero_10,3,3,7,0967a937e01f5d178cee78794a00711c2a6f9f6ea3c52d7e9238f4facc9a777e,2k,110000,0,ok,520,104
libero_10,3,3,7,0967a937e01f5d178cee78794a00711c2a6f9f6ea3c52d7e9238f4facc9a777e,2k,110001,0,ok,520,104
libero_10,3,3,7,0967a937e01f5d178cee78794a00711c2a6f9f6ea3c52d7e9238f4facc9a777e,2k,110002,0,ok,520,104
libero_10,3,3,7,0967a937e01f5d178cee78794a00711c2a6f9f6ea3c52d7e9238f4facc9a777e,2k,110003,0,ok,520,104
libero_10,3,3,7,0967a937e01f5d178cee78794a00711c2a6f9f6ea3c52d7e9238f4facc9a777e,2k,110004,1,ok,468,94
libero_10,3,3,7,0967a937e01f5d178cee78794a00711c2a6f9f6ea3c52d7e9238f4facc9a777e,2k,110005,0,ok,520,104
libero_10,3,3,7,0967a937e01f5d178cee78794a00711c2a6f9f6ea3c52d7e9238f4facc9a777e,2k,110006,0,ok,520,104
