suite,task_id,init_idx,env_seed,sim_state_hash,checkpoint,policy_seed,success,status,steps,replans
libero_10,2,0,7,898747a843f4d59a4ec849c637bd3d582c2ad65a6dab27dbc928735e1810fcc9,2k,110000,0,ok,520,104
libero_10,2,0,7,898747a843f4d59a4ec849c637bd3d582c2ad65a6dab27dbc928735e1810fcc9,2k,110001,1,ok,226,46
libero_10,2,0,7,898747a843f4d59a4ec849c637bd3d582c2ad65a6dab27dbc928735e1810fcc9,2k,110002,0,ok,520,104
libero_10,2,0,7,898747a843f4d59a4ec849c637bd3d582c2ad65a6dab27dbc928735e1810fcc9,2k,110003,0,ok,520,104
libero_10,2,0,7,898747a843f4d59a4ec849c637bd3d582c2ad65a6dab27dbc928735e1810fcc9,2k,110004,0,ok,520,104
libero_10,2,0,7,898747a843f4d59a4ec849c637bd3d582c2ad65a6dab27dbc928735e1810fcc9,2k,110005,1,ok,233,47
libero_10,2,0,7,898747a843f4d59a4ec849c637bd3d582c2ad65a6dab27dbc928735e1810fcc9,2k,110006,0,ok,520,104
libero_10,2,0,7,898747a843f4d59a4ec849c637bd3d582c2ad65a6dab27dbc928735e1810fcc9,2k,110007,1,ok,213,43
libero_10,2,1,7,828e040d56d35867daacad89177e90deefac51cfc208b440f1016fc1972f759b,2k,110000,1,ok,242,49
libero_10,2,1,7,828e040d56d35867daacad89177e90deefac51cfc208b440f1016fc1972f759b,2k,110001,1,ok,238,48
libero_10,2,1,7,828e040d56d35867daacad89177e90deefac51cfc208b440f1016fc1972f759b,2k,110002,0,ok,520,104
libero_10,2,1,7,828e040d56d35867daacad89177e90deefac51cfc208b440f1016fc1972f759b,2k,110003,1,ok,223,45
libero_10,2,1,7,828e040d56d35867daacad89177e90deefac51cfc208b440f1016fc1972f759b,2k,110004,1,ok,232,47
libero_10,2,1,7,828e040d56d35867daacad89177e90deefac51cfc208b440f1016fc1972f759b,2k,110005,1,ok,257,52
libero_10,2,1,7,828e040d56d35867daacad89177e90deefac51cfc208b440f1016fc1972f759b,2k,110006,1,ok,241,49
libero_10,2,1,7,828e040d56d35867daacad89177e90deefac51cfc208b440f1016fc1972f759b,2k,110007,1,ok,225,45
libero_10,2,2,7,a6b68db76218b973c9bbc03789bcd93a9a5b194442bedbd2eef5570c507eb0da,2k,110000,1,ok,244,49
libero_10,2,2,7,a6b68db76218b973c9bbc03789bcd93a9a5b194442bedbd2eef5570c507eb0da,2k,110001,1,ok,220,44
libero_10,2,2,7,a6b68db76218b973c9bbc03789bcd93a9a5b194442bedbd2eef5570c507eb0da,2k,110002,1,ok,236,48
libero_10,2,2,7,a6b68db76218b973c9bbc03789bcd93a9a5b194442bedbd2eef5570c507eb0da,2k,110003,1,ok,204,41
libero_10,2,2,7,a6b68db76218b973c9bbc03789bcd93a9a5b194442bedbd2eef5570c507eb0da,2k,110004,1,ok,197,40
libero_10,2,2,7,a6b68db76218b973c9bbc03789bcd93a9a5b194442bedbd2eef5570c507eb0da,2k,110005,1,ok,256,52
libero_10,2,2,7,a6b68db76218b973c9bbc03789bcd93a9a5b194442bedbd2eef5570c507eb0da,2k,110006,1,ok,262,53
libero_10,2,2,7,a6b68db76218b973c9bbc03789bcd93a9a5b194442bedbd2eef5570c507eb0da,2k,110007,0,ok,520,104
libero_10,2,3,7,b82a57fa79fdf0549968dbc7916ac9be37aec028d96a4fb14e02862a016414b2,2k,110000,1,ok,284,57
libero_10,2,3,7,b82a57fa79fdf0549968dbc7916ac9be37aec028d96a4fb14e02862a016414b2,2k,110001,0,ok,520,104
libero_10,2,3,7,b82a57fa79fdf0549968dbc7916ac9be37aec028d96a4fb14e02862a016414b2,2k,110002,0,ok,520,104
libero_10,2,3,7,b82a57fa79fdf0549968dbc7916ac9be37aec028d96a4fb14e02862a016414b2,2k,110003,0,ok,520,104
libero_10,2,3,7,b82a57fa79fdf0549968dbc7916ac9be37aec028d96a4fb14e02862a016414b2,2k,110004,1,ok,234,47
libero_10,2,3,7,b82a57fa79fdf0549968dbc7916ac9be37aec028d96a4fb14e02862a016414b2,2k,110005,0,ok,520,104
libero_10,2,3,7,b82a57fa79fdf0549968dbc7916ac9be37aec028d96a4fb14e02862a016414b2,2k,110006,0,ok,520,104
libero_10,2,3,7,b82a57fa79fdf0549968dbc7916ac9be37aec028d96a4fb14e02862a016414b2,2k,110007,1,ok,259,52
libero_10,2,4,7,8075df9c9bac15b5108d0378483cf2f46ba90feff7c1cf21104401ec8e166716,2k,110000,1,ok,218,44
libero_10,2,4,7,8075df9c9bac15b5108d0378483cf2f46ba90feff7c1cf21104401ec8e166716,2k,110001,0,ok,520,104
libero_10,2,4,7,8075df9c9bac15b5108d0378483cf2f46ba90feff7c1cf21104401ec8e166716,2k,110002,0,ok,520,104
libero_10,2,4,7,8075df9c9bac15b5108d0378483cf2f46ba90feff7c1cf21104401ec8e166716,2k,110003,1,ok,316,64
libero_10,2,4,7,8075df9c9bac15b5108d0378483cf2f46ba90feff7c1cf21104401ec8e166716,2k,110004,0,ok,520,104
libero_10,2,4,7,8075df9c9bac15b5108d0378483cf2f46ba90feff7c1cf21104401ec8e166716,2k,110005,1,ok,168,34
libero_10,2,4,7,8075df9c9bac15b5108d0378483cf2f46ba90feff7c1cf21104401ec8e166716,2k,110006,1,ok,238,48
libero_10,2,4,7,8075df9c9bac15b5108d0378483cf2f46ba90feff7c1cf21104401ec8e166716,2k,110007,0,ok,520,104
libero_10,2,5,7,22255c578ab85409280f2d1338aeca4a56bae12867bb24b60b77ca787e1a1ee6,2k,110000,1,ok,243,49
libero_10,2,5,7,22255c578ab85409280f2d1338aeca4a56bae12867bb24b60b77ca787e1a1ee6,2k,110001,1,ok,230,46
libero_10,2,5,7,22255c578ab85409280f2d1338aeca4a56bae12867bb24b60b77ca787e1a1ee6,2k,110002,1,ok,220,44
libero_10,2,5,7,22255c578ab85409280f2d1338aeca4a56bae12867bb24b60b77ca787e1a1ee6,2k,110003,0,ok,520,104
libero_10,2,5,7,22255c578ab85409280f2d1338aeca4a56bae12867bb24b60b77ca787e1a1ee6,2k,110004,1,ok,305,61
libero_10,2,5,7,22255c578ab85409280f2d1338aeca4a56bae12867bb24b60b77ca787e1a1ee6,2k,110005,1,ok,224,45
libero_10,2,5,7,22255c578ab85409280f2d1338aeca4a56bae12867bb24b60b77ca787e1a1ee6,2k,110006,0,ok,520,104
libero_10,2,5,7,22255c578ab85409280f2d1338aeca4a56bae12867bb24b60b77ca787e1a1ee6,2k,110007,0,ok,520,104
libero_10,2,6,7,18faebd2ec6ec483f2422bcfcb646728dbee985544b9a77fd30a4f1c6955d7c2,2k,110000,0,ok,520,104
libero_10,2,6,7,18faebd2ec6ec483f2422bcfcb646728dbee985544b9a77fd30a4f1c6955d7c2,2k,110001,0,ok,520,104
libero_10,2,6,7,18faebd2ec6ec483f2422bcfcb646728dbee985544b9a77fd30a4f1c6955d7c2,2k,110002,1,ok,231,47
libero_10,2,6,7,18faebd2ec6ec483f2422bcfcb646728dbee985544b9a77fd30a4f1c6955d7c2,2k,110003,1,ok,218,44
libero_10,2,6,7,18faebd2ec6ec483f2422bcfcb646728dbee985544b9a77fd30a4f1c6955d7c2,2k,110004,1,ok,245,49
libero_10,2,6,7,18faebd2ec6ec483f2422bcfcb646728dbee985544b9a77fd30a4f1c6955d7c2,2k,110005,0,ok,520,104
libero_10,2,6,7,18faebd2ec6ec483f2422bcfcb646728dbee985544b9a77fd30a4f1c6955d7c2,2k,110006,1,ok,289,58
libero_10,2,6,7,18faebd2ec6ec483f2422bcfcb646728dbee985544b9a77fd30a4f1c6955d7c2,2k,110007,0,ok,520,104
libero_10,2,7,7,17af87a03b11b57039a8510cda173898fada1abef966dc338782fa46c898823c,2k,110000,1,ok,253,51
libero_10,2,7,7,17af87a03b11b57039a8510cda173898fada1abef966dc338782fa46c898823c,2k,110001,1,ok,234,47
libero_10,2,7,7,17af87a03b11b57039a8510cda173898fada1abef966dc338782fa46c898823c,2k,110002,1,ok,244,49
libero_10,2,7,7,17af87a03b11b57039a8510cda173898fada1abef966dc338782fa46c898823c,2k,110003,0,ok,520,104
libero_10,2,7,7,17af87a03b11b57039a8510cda173898fada1abef966dc338782fa46c898823c,2k,110004,0,ok,520,104
libero_10,2,7,7,17af87a03b11b57039a8510cda173898fada1abef966dc338782fa46c898823c,2k,110005,1,ok,244,49
libero_10,2,7,7,17af87a03b11b57039a8510cda173898fada1abef966dc338782fa46c898823c,2k,110006,1,ok,228,46
libero_10,2,7,7,17af87a03b11b57039a8510cda173898fada1abef966dc338782fa46c898823c,2k,110007,0,ok,520,104
libero_10,2,8,7,d43190da33f3d6eb3533686f952f0844af23a64ae92e3b6b3538c87fc3d4578c,2k,110000,0,ok,520,104
libero_10,2,8,7,d43190da33f3d6eb3533686f952f0844af23a64ae92e3b6b3538c87fc3d4578c,2k,110001,0,ok,520,104
libero_10,2,8,7,d43190da33f3d6eb3533686f952f0844af23a64ae92e3b6b3538c87fc3d4578c,2k,110002,1,ok,223,45
libero_10,2,8,7,d43190da33f3d6eb3533686f952f0844af23a64ae92e3b6b3538c87fc3d4578c,2k,110003,1,ok,293,59
libero_10,2,8,7,d43190da33f3d6eb3533686f952f0844af23a64ae92e3b6b3538c87fc3d4578c,2k,110004,0,ok,520,104
libero_10,2,8,7,d43190da33f3d6eb3533686f952f0844af23a64ae92e3b6b3538c87fc3d4578c,2k,110005,0,ok,520,104
libero_10,2,8,7,d43190da33f3d6eb3533686f952f0844af23a64ae92e3b6b3538c87fc3d4578c,2k,110006,1,ok,241,49
libero_10,2,8,7,d43190da33f3d6eb3533686f952f0844af23a64ae92e3b6b3538c87fc3d4578c,2k,110007,1,ok,239,48
libero_10,2,9,7,9ad5550f24df95670cb8f70b2cfaeb649ecb656b413706dc8c71dc0fb91061bc,2k,110000,0,ok,520,104
libero_10,2,9,7,9ad5550f24df95670cb8f70b2cfaeb649ecb656b413706dc8c71dc0fb91061bc,2k,110001,0,ok,520,104
libero_10,2,9,7,9ad5550f24df95670cb8f70b2cfaeb649ecb656b413706dc8c71dc0fb91061bc,2k,110002,1,ok,244,49
libero_10,2,9,7,9ad5550f24df95670cb8f70b2cfaeb649ecb656b413706dc8c71dc0fb91061bc,2k,110003,1,ok,248,50
libero_10,2,9,7,9ad5550f24df95670cb8f70b2cfaeb649ecb656b413706dc8c71dc0fb91061bc,2k,110004,1,ok,203,41
libero_10,2,9,7,9ad5550f24df95670cb8f70b2cfaeb649ecb656b413706dc8c71dc0fb91061bc,2k,110005,0,ok,520,104
libero_10,2,9,7,9ad5550f24df95670cb8f70b2cfaeb649ecb656b413706dc8c71dc0fb91061bc,2k,110006,1,ok,224,45
libero_10,2,9,7,9ad5550f24df95670cb8f70b2cfaeb649ecb656b413706dc8c71dc0fb91061bc,2k,110007,1,ok,208,42
libero_10,2,10,7,17b5b0b5acc22c32f142b2e6d5a0e70915ac9817daf60f1f5cb7ca960d0f1ac3,2k,110000,1,ok,222,45
libero_10,2,10,7,17b5b0b5acc22c32f142b2e6d5a0e70915ac9817daf60f1f5cb7ca960d0f1ac3,2k,110001,1,ok,232,47
libero_10,2,10,7,17b5b0b5acc22c32f142b2e6d5a0e70915ac9817daf60f1f5cb7ca960d0f1ac3,2k,110002,1,ok,239,48
libero_10,2,10,7,17b5b0b5acc22c32f142b2e6d5a0e70915ac9817daf60f1f5cb7ca960d0f1ac3,2k,110003,1,ok,295,59
libero_10,2,10,7,17b5b0b5acc22c32f142b2e6d5a0e70915ac9817daf60f1f5cb7ca960d0f1ac3,2k,110004,1,ok,237,48
libero_10,2,10,7,17b5b0b5acc22c32f142b2e6d5a0e70915ac9817daf60f1f5cb7ca960d0f1ac3,2k,110005,0,ok,520,104
libero_10,2,10,7,17b5b0b5acc22c32f142b2e6d5a0e70915ac9817daf60f1f5cb7ca960d0f1ac3,2k,110006,1,ok,238,48
libero_10,2,10,7,17b5b0b5acc22c32f142b2e6d5a0e70915ac9817daf60f1f5cb7ca960d0f1ac3,2k,110007,0,ok,520,104
libero_10,2,11,7,cca62efe0ab11a3662ae6bd4740ac3f4e7152227011a82196a76baa80e2c1c99,2k,110000,0,ok,520,104
libero_10,2,11,7,cca62efe0ab11a3662ae6bd4740ac3f4e7152227011a82196a76baa80e2c1c99,2k,110001,1,ok,232,47
libero_10,2,11,7,cca62efe0ab11a3662ae6bd4740ac3f4e7152227011a82196a76baa80e2c1c99,2k,110002,0,ok,520,104
libero_10,2,11,7,cca62efe0ab11a3662ae6bd4740ac3f4e7152227011a82196a76baa80e2c1c99,2k,110003,0,ok,520,104
libero_10,2,11,7,cca62efe0ab11a3662ae6bd4740ac3f4e7152227011a82196a76baa80e2c1c99,2k,110004,0,ok,520,104
libero_10,2,11,7,cca62efe0ab11a3662ae6bd4740ac3f4e7152227011a82196a76baa80e2c1c99,2k,110005,0,ok,520,104
