suite,task_id,init_idx,env_seed,sim_state_hash,checkpoint,policy_seed,success,status,steps,replans
libero_10,3,0,7,dee9d60f856fe009a20ecfca9c67ddc9edc1f8fe50839d03a59694b459d03ccc,9k,110000,1,ok,238,48
libero_10,3,0,7,dee9d60f856fe009a20ecfca9c67ddc9edc1f8fe50839d03a59694b459d03ccc,9k,110001,1,ok,222,45
libero_10,3,0,7,dee9d60f856fe009a20ecfca9c67ddc9edc1f8fe50839d03a59694b459d03ccc,9k,110002,1,ok,229,46
libero_10,3,0,7,dee9d60f856fe009a20ecfca9c67ddc9edc1f8fe50839d03a59694b459d03ccc,9k,110003,1,ok,238,48
libero_10,3,0,7,dee9d60f856fe009a20ecfca9c67ddc9edc1f8fe50839d03a59694b459d03ccc,9k,110004,1,ok,235,47
libero_10,3,0,7,dee9d60f856fe009a20ecfca9c67ddc9edc1f8fe50839d03a59694b459d03ccc,9k,110005,1,ok,230,46
libero_10,3,0,7,dee9d60f856fe009a20ecfca9c67ddc9edc1f8fe50839d03a59694b459d03ccc,9k,110006,1,ok,237,48
libero_10,3,0,7,dee9d60f856fe009a20ecfca9c67ddc9edc1f8fe50839d03a59694b459d03ccc,9k,110007,1,ok,241,49
libero_10,3,1,7,82fc9dacfe3fb0bbe32330fb6d1b4e6a88edf64338d745cec4a8105011025014,9k,110000,1,ok,219,44
libero_10,3,1,7,82fc9dacfe3fb0bbe32330fb6d1b4e6a88edf64338d745cec4a8105011025014,9k,110001,1,ok,211,43
libero_10,3,1,7,82fc9dacfe3fb0bbe32330fb6d1b4e6a88edf64338d745cec4a8105011025014,9k,110002,1,ok,228,46
libero_10,3,1,7,82fc9dacfe3fb0bbe32330fb6d1b4e6a88edf64338d745cec4a8105011025014,9k,110003,1,ok,232,47
libero_10,3,1,7,82fc9dacfe3fb0bbe32330fb6d1b4e6a88edf64338d745cec4a8105011025014,9k,110004,1,ok,221,45
