step,exact_accuracy,token_accuracy,eval_loss
0,0.0,0.19989013671875,1.609837532043457
4000,0.00054931640625,0.21485595703125,1.6442334651947021
8000,0.006103515625,0.2886962890625,1.6351476430892944
12000,0.0736083984375,0.54486083984375,1.1919797897338866
16000,0.88458251953125,0.97489013671875,0.07627261877059936
20000,0.99896240234375,0.99979248046875,0.0012988528236746789
24000,0.9930419921875,0.9986083984375,0.005976220313459635
28000,0.99847412109375,0.99969482421875,0.001571364630945027
32000,0.99981689453125,0.99996337890625,0.00020182101288810373
36000,1.0,1.0,1.3889075489714742e-05
40000,0.9990234375,0.9998046875,0.0009646168095059693
44000,0.999755859375,0.999951171875,0.000371104248915799
48000,0.9996337890625,0.9999267578125,0.0003806396940490231
52000,0.9996337890625,0.9999267578125,0.0009243186854291707
56000,0.99969482421875,0.99993896484375,0.0006339881510939449
60000,0.9996337890625,0.9999267578125,0.0006737633855664171
64000,0.99993896484375,0.99998779296875,0.00026178451225860043
68000,0.99993896484375,0.99998779296875,0.00021848347678314893
72000,0.99993896484375,0.99998779296875,0.00023953488271217794
76000,0.99993896484375,0.99998779296875,0.00025502072676317764
80000,0.998291015625,0.999658203125,0.0022860224707983434
84000,1.0,1.0,2.722203353187069e-05
88000,1.0,1.0,3.371623461134732e-06
92000,1.0,1.0,5.831345333717763e-07
96000,1.0,1.0,1.0598887456580997e-07
100000,1.0,1.0,2.7830537874251604e-08
104000,1.0,1.0,4.642060957849026e-09
108000,1.0,1.0,1.7927959561347962e-09
112000,1.0,1.0,1.1816155165433884e-09
116000,1.0,1.0,5.6796125136315824e-09
120000,0.99798583984375,0.99959716796875,0.002604164439253509
124000,0.9998779296875,0.9999755859375,8.987078763311729e-05
128000,0.99957275390625,0.99991455078125,0.0005757951235864312
132000,1.0,1.0,3.063386830035597e-05
136000,0.94232177734375,0.98792724609375,0.04514761976897717
140000,0.999755859375,0.999951171875,0.0003242630889872089
144000,0.9998779296875,0.9999755859375,0.00017220947484020144
148000,0.99981689453125,0.99996337890625,0.00031729393085697664
152000,0.99993896484375,0.99998779296875,0.0001761414183420129
156000,0.99993896484375,0.99998779296875,0.00017398303898517043
160000,0.98602294921875,0.99715576171875,0.012124082818627358
