step,exact_accuracy,token_accuracy,eval_loss
0,0.0,0.2009033203125,1.6075335502624513
4000,0.00347900390625,0.26829833984375,1.6680082559585572
8000,0.42138671875,0.8266845703125,0.46114165186882017
12000,0.995361328125,0.999072265625,0.004858127841725945
16000,0.998779296875,0.999755859375,0.0010108948568813502
20000,0.99981689453125,0.999951171875,0.0004298197600292042
24000,0.99993896484375,0.99998779296875,5.416978819994256e-05
28000,0.9998779296875,0.9999755859375,0.00016767927882028745
32000,1.0,1.0,2.096912212437019e-05
36000,0.90887451171875,0.98082275390625,0.060479029268026355
40000,1.0,1.0,2.3133523063734175e-05
44000,1.0,1.0,3.1632953323423862e-06
48000,1.0,1.0,4.815636202692986e-07
52000,1.0,1.0,1.3498502084985376e-07
56000,1.0,1.0,1.2946838978677989e-08
60000,0.99951171875,0.99990234375,0.0005961705464869738
64000,0.9998779296875,0.9999755859375,0.0001820345103624277
68000,0.9998779296875,0.9999755859375,7.851956033846363e-05
72000,1.0,1.0,1.3813872647006064e-05
76000,0.9998779296875,0.9999755859375,0.00010158738296013325
80000,0.9998779296875,0.9999755859375,5.163324385648593e-05
84000,0.9996337890625,0.9999267578125,0.000238017929950729
88000,0.9998779296875,0.9999755859375,7.111358863767236e-05
92000,1.0,1.0,1.9413956033531575e-05
96000,0.99981689453125,0.99996337890625,0.00019352582457941026
100000,1.0,1.0,2.651714748935774e-05
104000,0.99908447265625,0.99981689453125,0.0005464168032631278
108000,0.9996337890625,0.9999267578125,0.0002849297365173697
112000,0.9998779296875,0.9999755859375,9.407069737790152e-05
116000,1.0,1.0,6.691121961921454e-06
120000,1.0,1.0,2.668992965482175e-06
124000,1.0,1.0,1.6233243513852357e-07
128000,1.0,1.0,3.183959051966667e-08
132000,1.0,1.0,1.6395642887800933e-08
136000,0.9998779296875,0.9999755859375,8.589821372879669e-05
140000,0.9998779296875,0.9999755859375,0.00013187313452363015
144000,1.0,1.0,1.917888585012406e-06
148000,0.9998779296875,0.9999755859375,9.282005339628085e-05
152000,0.99993896484375,0.99998779296875,0.00014901342074153946
156000,1.0,1.0,4.742639430332929e-06
160000,0.9998779296875,0.9999755859375,0.00014912986516719685
