rollout,probe,step,cov_before,agent_block_gap_px,ace,branches,extra_steps,branch_final_kp_dispersion_px,branch_final_cov_std,branch_final_cov_mean,branch_max_cov_std,branch_goal_rate,branch_goal_disagreement,kp_shift_from_probe_px,act_rms_dispersion,act_trace_cov_mean,act_std_mean
205000,0,0,0.0,200.45172467328254,2.2927565850260905,32,88,29.162967242922356,0.26842246716674373,0.718973389235362,0.2729143035575344,0.125,0.125,186.05265752860714,8.704128628272544,76.05896049193538,6.102896454052258
205000,3,24,0.0,25.061596541024265,0.6923581473968814,32,88,5.739850047047351,0.06677691342696529,0.8852199494385176,0.037283868339217964,0.25,0.25,199.22815197259092,2.1820744088264994,4.7801210735992505,1.4525295484059773
205000,6,48,0.1514931936833665,14.880900823421808,0.08596571355869981,32,88,6.085211844133369,0.08696745097099207,0.8965262082846333,0.029342950638731928,0.4375,0.4375,82.77286545753238,1.3419026541787025,1.8077643126380831,0.9415551529133757
205000,9,72,0.20624947870849752,58.12685740618503,0.9739077663940243,32,88,4.0272732498996335,0.06238509710214483,0.9294758006846364,0.0223879096094637,0.6875,0.3125,74.635196083387,3.379077286473305,11.462940418971385,2.390657430143948
205000,12,96,0.8844384650108325,14.677706488463508,0.005748959497113299,32,88,0.1661623680712541,0.003141379488015998,0.9533477493227265,0.003141379488015998,1.0,0.0,3.7244612827002284,0.5915555844243953,0.35131031538315327,0.4174076813695876
205001,0,0,0.1082449974871251,211.51361272120943,4.391777108977117,32,88,43.41865042283688,0.03132694542112337,0.24201880209601223,0.04705022252034223,0.0,0.0,150.10335173347065,30.142449361398427,912.1302623417407,20.694634181177197
205001,3,24,0.03315318692425282,15.021461411081637,0.0711494693416749,32,88,3.9974543907179436,0.032502055487476006,0.6855520984296153,0.03317556030389238,0.0,0.0,136.86811383704102,1.591682791536713,2.5433892230265474,1.1230627276600789
205001,6,48,0.03300368645503174,14.829397244176143,0.10014295990054989,32,88,6.981748448279821,0.11219819093543687,0.8184534667648803,0.09566126001302563,0.03125,0.03125,82.74705559341872,1.8547662743817077,3.453648748005695,1.302672855496495
205001,9,72,0.1893586360022206,48.43994138369681,0.09097290083200094,32,88,5.352305130267374,0.0781815545258531,0.9080651688857623,0.06326362099252171,0.3125,0.3125,65.03443470154453,2.306988396434641,5.34306681603421,1.6329730096566186
205001,12,96,0.19921724003368987,14.855351009500675,0.5902325196887103,32,88,2.0114076005255783,0.025899920472892114,0.9390645544209845,0.023126874929256035,0.46875,0.46875,61.666155073125246,2.3396942982522395,5.495636740290797,1.549268849952938
205001,15,120,0.6976261312701076,53.04292600697936,1.2630743059187126,32,88,0.5854893927195033,0.010707058687698664,0.9572091197172896,0.010707058687698664,0.90625,0.09375,13.255781655499062,3.3571818134101825,11.314868433108913,2.3494210689370654
205001,18,144,0.8863680621370191,14.929182184288706,0.40554686604332807,32,88,0.35265051598933206,0.005981787344001682,0.9554382797342286,0.005981787344001682,0.9375,0.0625,3.4365515823551154,3.282958885345657,10.82008499990086,2.2747682736411257
