rollout,probe,step,cov_before,agent_block_gap_px,ace,branches,extra_steps,branch_final_kp_dispersion_px,branch_final_cov_std,branch_final_cov_mean,branch_max_cov_std,branch_goal_rate,branch_goal_disagreement,kp_shift_from_probe_px,null_final_kp_dispersion_px,null_final_cov_std,null_goal_disagreement,act_rms_dispersion,act_trace_cov_mean,act_std_mean
504000,0,0,0.0,183.17920847979642,3.4726514394869907,32,88,47.90063542586164,0.1522208206236167,0.3472030596281593,0.14571395475307686,0.0,0.0,120.83359883715916,9.303333546382543,0.1318547429616269,0.0,61.13708998475454,3752.401590516931,39.91150818618229
504000,3,24,0.0,30.494793926678962,0.0,32,88,16.508822424739478,0.17445779596569716,0.605403484456858,0.18501810550294642,0.0,0.0,171.07032275746343,16.892517879913196,0.17387531255028554,0.03125,1.7717957411857497,3.1515709725956533,1.2490293539720154
504000,6,48,0.0,14.825774912798755,0.40672911750367713,32,88,13.132966095080034,0.1584809085855816,0.7531228387731937,0.15233155109368424,0.09375,0.09375,151.8734752931513,5.318069473807791,0.07135166516948054,0.0,2.841763745956185,8.107290290528315,1.9547695206360296
504000,9,72,0.23678930078857327,14.6815962924788,0.39309423017826395,32,88,13.13577317745737,0.13585022009142303,0.84722559075071,0.07335556932005138,0.21875,0.21875,51.49260288870338,5.345504575254857,0.06365621913693954,0.21875,0.9473503502611234,0.900992186869832,0.6697599546192506
504000,12,96,0.3828820423812395,43.095236883371065,0.15338447007875533,32,88,4.5885244680464785,0.04904535747082331,0.9165937110278721,0.01998743546451508,0.3125,0.3125,28.471815953516256,10.592121355989978,0.13776179772211,0.25,1.888945229323484,3.582106683616822,1.3266559085186183
504000,15,120,0.6467530045108386,14.859417252623311,0.8824446111668973,32,88,20.329136871311263,0.2336825472478313,0.7886315242452528,0.01725160221716963,0.21875,0.21875,20.544319911833355,16.20770908667059,0.20911043440190374,0.03125,7.498556186285323,56.448848192128395,5.230505947665364
504000,18,144,0.7908061602116868,14.849218161471358,0.9795041774842996,32,88,15.49933156730946,0.17741150252886986,0.8005376657864429,0.010195126910400115,0.125,0.125,11.601181151780994,34.67289572960557,0.24487665167619804,0.21875,5.45937681038744,29.92167670743453,3.844001763614287
504000,21,168,0.9054017638691272,14.71188969033592,1.2012715983984452,32,88,24.861769026714295,0.21290764504277254,0.841938481260869,0.021106949236744565,0.28125,0.28125,4.21717258284716,67.35813825054743,0.3561407248641944,0.09375,4.826908578146728,23.390415231283647,3.1428265769006956
504000,24,192,0.13981155053405622,14.913992238715759,0.0,32,88,29.230580947139934,0.0720318258578093,0.30665830206754163,0.07225507822803105,0.0,0.0,94.22719693359423,36.42805733754409,0.09537295173358096,0.0,1.3284380636103599,1.7716682680207922,0.9341008787817201
504000,27,216,0.0,15.104324327301883,0.16085538584291192,32,88,49.22109605444907,0.08221524083590766,0.34539963606114665,0.09782289192926215,0.0,0.0,131.19924062835565,48.361826467527024,0.11731806876321346,0.0,1.5851122486421485,2.522434098994558,1.1109548123999975
504000,30,240,0.0,77.21031572191394,0.0,32,88,66.12950202814862,0.3035528535508725,0.5932877038869269,0.16901558359549082,0.0,0.0,168.61996651865175,57.20699398921969,0.28188667725638994,0.0,1.9007679668555904,3.6270871730942256,1.3398131668235207
504000,33,264,0.0002479908761841937,14.756540008200755,0.7703922325814117,32,88,43.04308565455122,0.2685374760512959,0.6566167077395767,0.17842455750795766,0.03125,0.03125,167.32754864054735,17.992852449312274,0.1716690271782717,0.0,4.63286430757538,21.547602012768305,3.1083438192890505
504000,36,288,0.2965387249751985,14.956448379354713,0.2375156818955985,32,88,14.53044898645499,0.12996883877809154,0.7100602816550833,0.12598792223821123,0.0,0.0,63.82376691951428,14.054831179614599,0.11256663143509743,0.0,2.2212822487135298,4.953444219933944,1.548587701555841
504001,0,0,0.0,110.27542514271944,0.10278657938822311,32,88,67.13440071534814,0.0031243742874933786,0.0015898963234304325,0.007170171517601737,0.0,0.0,62.93319395161335,61.330747026216,0.006676354313922092,0.0,2.925885052163665,8.594375116272705,2.0715828276554813
504001,3,24,0.0,14.939757262705136,0.0,32,88,89.9644727692873,0.006070186534906094,0.0026578154153672376,0.01964447774991842,0.0,0.0,110.87315947027797,80.7350475074849,0.002865313487533513,0.0,1.5351645029118446,2.3659721296319405,1.0759811935574555
504001,6,48,0.0,86.82788623636942,0.051279094397565256,32,88,46.40925266815145,0.20161363433341362,0.18637880439521926,0.2059779257920878,0.0,0.0,165.79161448898196,43.770882476103694,0.20466223387452886,0.0,2.7047724301269693,7.344483286613288,1.8954337562339671
504001,9,72,0.0,14.883965188091562,0.2822665649656037,32,88,10.187669071851035,0.11561470380050973,0.6822847430505264,0.1181555875854188,0.0,0.0,185.12534599002166,5.206026954701225,0.08314431532162925,0.0,2.9026708129450736,8.458539016355852,2.0360090587406265
504001,12,96,0.0017100115191379845,15.276264648403927,0.9650332794752375,32,88,7.506241380306016,0.11132620586771819,0.8408674632406391,0.11276284042802756,0.09375,0.09375,154.648663493907,7.434427517309636,0.12648299777320182,0.03125,5.202058466675905,27.16753547616827,3.5534704727377866
504001,15,120,0.012011461080456474,14.919771024071624,0.0,32,88,8.837311176092225,0.14890402420620918,0.857198469783917,0.024831571551210872,0.25,0.25,150.34666409031522,5.873922828470537,0.09546750121740157,0.125,2.309905237409121,5.356586371323052,1.6153329731533586
504001,18,144,0.30074213210077777,15.00358478675671,0.059652125182810316,32,88,5.167250774096647,0.05506204014572728,0.8823759723846785,0.024149437652479365,0.15625,0.15625,58.413965212029545,5.531338640470034,0.08492351826470101,0.21875,1.513413416198068,2.2994022082040972,1.0629799886747722
504001,21,168,0.6351332568824039,14.899777509941108,1.336567511525553,32,88,10.330277304934105,0.12345150022060372,0.8661444298172052,0.013198339658228203,0.125,0.125,18.175002886165668,4.097231473151922,0.0349707909075096,0.0625,5.90583832449731,35.01570641829771,3.565513110358197
504001,24,192,0.8589222017610992,14.816561328664648,1.0023755064341366,32,88,10.038623120403448,0.13314905959353146,0.8412512492378054,0.014276210778483534,0.1875,0.1875,6.336085575928751,10.107239981055372,0.13073846338503706,0.0625,5.062359360350154,25.727982223886922,3.203760651274157
504001,27,216,0.9039599441212556,14.865395731206702,0.9332963393721941,32,88,11.463172173630397,0.14162048424183715,0.8112980043137878,0.014618456533689712,0.125,0.125,10.054890373686419,10.327759868782435,0.12790984621515888,0.03125,4.637583285409067,21.591520606474568,2.807628801656514
504001,30,240,0.8355345740479895,48.54419237180866,0.0,32,88,9.680733391726399,0.11468975206275268,0.8777748146951259,0.017735968568505428,0.25,0.25,7.261910696668973,22.56344263920873,0.15834638662496742,0.25,1.559119713350845,2.4403870424437564,1.0942540211707148
504001,33,264,0.8872710323190183,49.710573152850706,0.008053616137980297,32,88,5.337567686874262,0.07491288361921074,0.9076522351908438,0.020882210823623577,0.34375,0.34375,4.283295808996569,4.7438975480193015,0.05081320557573061,0.3125,2.184298834350656,4.789871834599529,1.5324826387054067
504001,36,288,0.8094909600404206,14.95589958810011,1.445393281865087,32,88,2.361306954998998,0.02055368784220715,0.9501383795546677,0.011042024057968202,0.78125,0.21875,9.191915246339112,6.403584531544595,0.10376286071589946,0.125,6.081156182273663,37.12548192698243,2.812378923791465
504002,0,0,0.0,158.35635435407934,1.3184077507318208,32,88,89.08134377718642,0.17138846836608715,0.19315073847231592,0.1701070663227418,0.0,0.0,117.87578113166435,76.48814825339797,0.17320327530977295,0.0,5.996308786609997,36.096721884236544,4.134087002441794
504002,3,24,0.0,47.75513150989727,0.5357659537145172,32,88,59.992405988702615,0.06018241140178365,0.217697549098672,0.10481884892321813,0.0,0.0,114.6408031634409,28.130628237502297,0.04848881332314829,0.0,2.818112715972118,7.972903433962657,1.9265696155564398
504002,6,48,0.01298217465075578,17.832512617176306,2.118094145906448,32,88,19.917593370123203,0.12752627458874435,0.49211551800899633,0.039628812218145494,0.0,0.0,115.27153783666175,21.465072695468585,0.14906490961086155,0.0,18.275193257513887,335.29242463320475,11.506094774794535
504002,9,72,0.01298217465075578,44.93437479919132,0.1914148537528852,32,88,33.85802423708226,0.09276483480173281,0.41322088200940743,0.04261548307656759,0.0,0.0,140.50277249493266,13.669513607846362,0.06604111413100446,0.0,2.6208835282016127,6.895967842784397,1.8308418597456373
504002,12,96,0.032791569116321535,31.863829540063833,0.03371613614779763,32,88,11.55129478872542,0.07482592284669806,0.2864391939475602,0.022600021911695044,0.0,0.0,120.17813957160521,11.788281522449818,0.058582408045081615,0.0,2.072740952491305,4.313103115178212,1.4644717066332011
504002,15,120,0.19222499110806296,14.85515480735487,0.63089815980178,32,88,31.20299801146204,0.082481546945338,0.33821973587631216,0.01212913033093722,0.0,0.0,102.45271831548203,36.19044162541254,0.08264157369031595,0.0,1.8767596164453055,3.5360393114804003,1.3116692014119304
504002,18,144,0.28015477824779944,14.760528661566012,0.02324370537856727,32,88,2.5862428018930212,0.013196255088463288,0.35305142575871284,0.01075670583160378,0.0,0.0,55.96067837448384,2.3936672627046,0.0118200799661824,0.0,1.1376347835242948,1.2992882453929324,0.8055287188245606
504002,21,168,0.3440426659614779,44.650901671328356,0.0,32,88,16.75180737062295,0.03238335686164057,0.20200487178677373,0.0029013241426983673,0.0,0.0,68.27310358815647,22.20091649152921,0.048873705356883186,0.0,1.8156011477554326,3.3093346160748807,1.2638263819107118
504002,24,192,0.3648973579386692,46.48194610025066,0.17403102784038027,32,88,44.40259973600293,0.03563562103575638,0.15780285513830278,0.015661805725840285,0.0,0.0,168.3165676163377,58.82758655738075,0.04622570584168523,0.0,2.8264724922665163,8.020275952478645,1.9433635233629238
504002,27,216,0.39681562969824813,14.946271719673891,0.0,32,88,8.735021257406816,0.04733207137622936,0.2776132463212767,0.0008202320505603737,0.0,0.0,174.560822336728,64.76938563000034,0.055983481601208675,0.0,1.7368822803496566,3.0285904873839593,1.2206904810297177
