step,exact_accuracy,token_accuracy,eval_loss
0,0.0,0.19989013671875,1.609837532043457
4000,0.0,0.2009033203125,1.6097664833068848
8000,0.0,0.2000244140625,1.608168125152588
12000,0.0,0.20029296875,1.6079072952270508
16000,0.0,0.2001953125,1.611837387084961
20000,0.0,0.2,1.6093750953674317
24000,0.0,0.2,1.6078022003173829
28000,0.0,0.2009521484375,1.6087617874145508
32000,0.0,0.2,1.6109375
36000,0.0,0.19989013671875,1.610171413421631
40000,0.0,0.2,1.6078018188476562
44000,0.0,0.2,1.6125
48000,0.0,0.2,1.609375
52000,0.0,0.1998291015625,1.609604549407959
56000,0.0,0.2,1.6116103172302245
60000,0.0,0.2,1.6082013130187989
64000,0.0,0.2,1.6125
68000,0.0,0.2,1.60819673538208
72000,0.0,0.2,1.6124412536621093
76000,0.0,0.2,1.60625
80000,0.0,0.2,1.609375
84000,0.0,0.2,1.6125
88000,0.0,0.2,1.6125
92000,0.0,0.2,1.6117398262023925
96000,0.0,0.2,1.6109375
100000,0.0,0.2,1.6078125
104000,0.0,0.2,1.6078125
108000,0.0,0.2,1.609375
112000,0.0,0.2,1.6094209671020507
116000,0.0,0.1990966796875,1.6104704856872558
120000,0.0,0.2,1.6125
124000,0.0,0.2,1.60625
128000,0.0,0.2,1.6109375
132000,0.0,0.2,1.60625
136000,0.0,0.2,1.609375
140000,0.0,0.2,1.6109375
144000,0.0,0.2,1.608951473236084
148000,0.0,0.2,1.6109375
152000,0.0,0.2,1.6078125
156000,0.0,0.2,1.609375
160000,0.0,0.2,1.6078091621398927
